Performance of quick sort->


	n               Pivot_type               Random               Sorted               Almost sorted
      10000		First(0)		0.002371     	     0.211378      	     0.009720
      10000		Random(1)	        0.002641             0.001827                0.001954  
      10000	     Median of three(2)	        0.002415             0.001207                0.002437 
      10000	     Median of three(3)         0.002436             0.001232                0.001465 

      100000            First(0)                0.029292             21.204379               0.194275 
      100000	        Random(1)               0.032316             0.021907                0.022312 
      100000	     Median of three(2)         0.029570             0.014841                0.034622
      100000         Median of three(3)         0.030238             0.015060                0.017151 

     1000000		First(0)                0.352350          Too time taking            1.970274 
     1000000		Random(1)               0.379032             0.260236                0.265327
     1000000	     Median of three(2)         0.381053             0.195132                0.374392
     1000000         Median of three(3)         0.353618             0.169435                0.205658 

     10000000		First(0)                4.463910          Too time taking            23.488058 
     10000000		Random(1)               4.592858             3.024992                3.163546  
     10000000        Median of three(2)         4.004565             1.974523                4.945260
     10000000	     Median of three(3)         4.208514             2.032935                2.336787
